N;DFT
0;0.999939
1;1.20818
2;32.213
3;1.74185
4;1.60814
5;2.02018
6;3.44923
7;32.1333
8;3.67226
9;1.62455
10;1.00497
11;0.710344
12;0.540381
13;0.431007
14;0.355477
15;0.300701
16;0.259508
17;0.227657
18;0.202518
19;0.182338
20;0.165924
21;0.152457
22;0.141315
23;0.13207
24;0.12438
25;0.118006
26;0.11275
27;0.108465
28;0.105042
29;0.102399
30;0.100459
31;0.0991939
32;0.0985684
33;0.0985684
34;0.0991939
35;0.100459
36;0.102399
37;0.105042
38;0.108465
39;0.11275
40;0.118006
41;0.12438
42;0.13207
43;0.141315
44;0.152457
45;0.165924
46;0.182338
47;0.202518
48;0.227657
49;0.259508
50;0.300701
51;0.355477
52;0.431007
53;0.540381
54;0.710344
55;1.00497
56;1.62455
57;3.67226
58;32.1333
59;3.44923
60;2.02018
61;1.60814
62;1.74185
63;32.213
64;1.20818
